Admission Type,Year,Admissions,Service Type,Hospital Admissions,Facility Type,Number of Beds,Admissions per Bed,Overcapacity
Public Sector Hospital Admissions,2006,316261,Acute Hospitals Admissions,400636,Acute Hospitals,8187,38.6296567729327,Yes
Public Sector Hospital Admissions,2006,316261,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113,149.6739233317558,Yes
Public Sector Hospital Admissions,2006,316261,Acute Hospitals Admissions,400636,Community Hospitals,771,410.1958495460441,Yes
Public Sector Hospital Admissions,2006,316261,Acute Hospitals Admissions,400636,Nursing Homes,9456,33.4455372250423,Yes
Public Sector Hospital Admissions,2006,316261,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187,38.6296567729327,Yes
Public Sector Hospital Admissions,2006,316261,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113,149.6739233317558,Yes
Public Sector Hospital Admissions,2006,316261,Psychiatric Hospitals Admissions,8514,Community Hospitals,771,410.1958495460441,Yes
Public Sector Hospital Admissions,2006,316261,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456,33.4455372250423,Yes
Public Sector Hospital Admissions,2006,316261,Community Hospitals Admissions,6229,Acute Hospitals,8187,38.6296567729327,Yes
Public Sector Hospital Admissions,2006,316261,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113,149.6739233317558,Yes
Public Sector Hospital Admissions,2006,316261,Community Hospitals Admissions,6229,Community Hospitals,771,410.1958495460441,Yes
Public Sector Hospital Admissions,2006,316261,Community Hospitals Admissions,6229,Nursing Homes,9456,33.4455372250423,Yes
Public Sector Hospital Admissions,2006,316261,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187,38.6296567729327,Yes
Public Sector Hospital Admissions,2006,316261,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113,149.6739233317558,Yes
Public Sector Hospital Admissions,2006,316261,Specialist Outpatient Clinics,3624976,Community Hospitals,771,410.1958495460441,Yes
Public Sector Hospital Admissions,2006,316261,Specialist Outpatient Clinics,3624976,Nursing Homes,9456,33.4455372250423,Yes
Public Sector Hospital Admissions,2006,316261,Accident & Emergency Departments,676763,Acute Hospitals,8187,38.6296567729327,Yes
Public Sector Hospital Admissions,2006,316261,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113,149.6739233317558,Yes
Public Sector Hospital Admissions,2006,316261,Accident & Emergency Departments,676763,Community Hospitals,771,410.1958495460441,Yes
Public Sector Hospital Admissions,2006,316261,Accident & Emergency Departments,676763,Nursing Homes,9456,33.4455372250423,Yes
Public Sector Hospital Admissions,2006,316261,Polyclinics,3769989,Acute Hospitals,8187,38.6296567729327,Yes
Public Sector Hospital Admissions,2006,316261,Polyclinics,3769989,Psychiatric Hospitals,2113,149.6739233317558,Yes
Public Sector Hospital Admissions,2006,316261,Polyclinics,3769989,Community Hospitals,771,410.1958495460441,Yes
Public Sector Hospital Admissions,2006,316261,Polyclinics,3769989,Nursing Homes,9456,33.4455372250423,Yes
Public Sector Hospital Admissions,2006,316261,Dental Clinics,838466,Acute Hospitals,8187,38.6296567729327,Yes
Public Sector Hospital Admissions,2006,316261,Dental Clinics,838466,Psychiatric Hospitals,2113,149.6739233317558,Yes
Public Sector Hospital Admissions,2006,316261,Dental Clinics,838466,Community Hospitals,771,410.1958495460441,Yes
Public Sector Hospital Admissions,2006,316261,Dental Clinics,838466,Nursing Homes,9456,33.4455372250423,Yes
Public Sector Hospital Admissions,2006,316261,Day Surgeries,196619,Acute Hospitals,8187,38.6296567729327,Yes
Public Sector Hospital Admissions,2006,316261,Day Surgeries,196619,Psychiatric Hospitals,2113,149.6739233317558,Yes
Public Sector Hospital Admissions,2006,316261,Day Surgeries,196619,Community Hospitals,771,410.1958495460441,Yes
Public Sector Hospital Admissions,2006,316261,Day Surgeries,196619,Nursing Homes,9456,33.4455372250423,Yes
    National University Hospital,2006,52020,Acute Hospitals Admissions,400636,Acute Hospitals,8187,6.353975815316966,No
    National University Hospital,2006,52020,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113,24.619025082820635,Yes
    National University Hospital,2006,52020,Acute Hospitals Admissions,400636,Community Hospitals,771,67.47081712062257,Yes
    National University Hospital,2006,52020,Acute Hospitals Admissions,400636,Nursing Homes,9456,5.501269035532995,No
    National University Hospital,2006,52020,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187,6.353975815316966,No
    National University Hospital,2006,52020,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113,24.619025082820635,Yes
    National University Hospital,2006,52020,Psychiatric Hospitals Admissions,8514,Community Hospitals,771,67.47081712062257,Yes
    National University Hospital,2006,52020,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456,5.501269035532995,No
    National University Hospital,2006,52020,Community Hospitals Admissions,6229,Acute Hospitals,8187,6.353975815316966,No
    National University Hospital,2006,52020,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113,24.619025082820635,Yes
    National University Hospital,2006,52020,Community Hospitals Admissions,6229,Community Hospitals,771,67.47081712062257,Yes
    National University Hospital,2006,52020,Community Hospitals Admissions,6229,Nursing Homes,9456,5.501269035532995,No
    National University Hospital,2006,52020,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187,6.353975815316966,No
    National University Hospital,2006,52020,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113,24.619025082820635,Yes
    National University Hospital,2006,52020,Specialist Outpatient Clinics,3624976,Community Hospitals,771,67.47081712062257,Yes
    National University Hospital,2006,52020,Specialist Outpatient Clinics,3624976,Nursing Homes,9456,5.501269035532995,No
    National University Hospital,2006,52020,Accident & Emergency Departments,676763,Acute Hospitals,8187,6.353975815316966,No
    National University Hospital,2006,52020,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113,24.619025082820635,Yes
    National University Hospital,2006,52020,Accident & Emergency Departments,676763,Community Hospitals,771,67.47081712062257,Yes
    National University Hospital,2006,52020,Accident & Emergency Departments,676763,Nursing Homes,9456,5.501269035532995,No
    National University Hospital,2006,52020,Polyclinics,3769989,Acute Hospitals,8187,6.353975815316966,No
    National University Hospital,2006,52020,Polyclinics,3769989,Psychiatric Hospitals,2113,24.619025082820635,Yes
    National University Hospital,2006,52020,Polyclinics,3769989,Community Hospitals,771,67.47081712062257,Yes
    National University Hospital,2006,52020,Polyclinics,3769989,Nursing Homes,9456,5.501269035532995,No
    National University Hospital,2006,52020,Dental Clinics,838466,Acute Hospitals,8187,6.353975815316966,No
    National University Hospital,2006,52020,Dental Clinics,838466,Psychiatric Hospitals,2113,24.619025082820635,Yes
    National University Hospital,2006,52020,Dental Clinics,838466,Community Hospitals,771,67.47081712062257,Yes
    National University Hospital,2006,52020,Dental Clinics,838466,Nursing Homes,9456,5.501269035532995,No
    National University Hospital,2006,52020,Day Surgeries,196619,Acute Hospitals,8187,6.353975815316966,No
    National University Hospital,2006,52020,Day Surgeries,196619,Psychiatric Hospitals,2113,24.619025082820635,Yes
    National University Hospital,2006,52020,Day Surgeries,196619,Community Hospitals,771,67.47081712062257,Yes
    National University Hospital,2006,52020,Day Surgeries,196619,Nursing Homes,9456,5.501269035532995,No
    Singapore General Hospital,2006,73827,Acute Hospitals Admissions,400636,Acute Hospitals,8187,9.01758886038842,No
    Singapore General Hospital,2006,73827,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113,34.93942262186465,Yes
    Singapore General Hospital,2006,73827,Acute Hospitals Admissions,400636,Community Hospitals,771,95.75486381322958,Yes
    Singapore General Hospital,2006,73827,Acute Hospitals Admissions,400636,Nursing Homes,9456,7.80742385786802,No
    Singapore General Hospital,2006,73827,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187,9.01758886038842,No
    Singapore General Hospital,2006,73827,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113,34.93942262186465,Yes
    Singapore General Hospital,2006,73827,Psychiatric Hospitals Admissions,8514,Community Hospitals,771,95.75486381322958,Yes
    Singapore General Hospital,2006,73827,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456,7.80742385786802,No
    Singapore General Hospital,2006,73827,Community Hospitals Admissions,6229,Acute Hospitals,8187,9.01758886038842,No
    Singapore General Hospital,2006,73827,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113,34.93942262186465,Yes
    Singapore General Hospital,2006,73827,Community Hospitals Admissions,6229,Community Hospitals,771,95.75486381322958,Yes
    Singapore General Hospital,2006,73827,Community Hospitals Admissions,6229,Nursing Homes,9456,7.80742385786802,No
    Singapore General Hospital,2006,73827,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187,9.01758886038842,No
    Singapore General Hospital,2006,73827,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113,34.93942262186465,Yes
    Singapore General Hospital,2006,73827,Specialist Outpatient Clinics,3624976,Community Hospitals,771,95.75486381322958,Yes
    Singapore General Hospital,2006,73827,Specialist Outpatient Clinics,3624976,Nursing Homes,9456,7.80742385786802,No
    Singapore General Hospital,2006,73827,Accident & Emergency Departments,676763,Acute Hospitals,8187,9.01758886038842,No
    Singapore General Hospital,2006,73827,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113,34.93942262186465,Yes
    Singapore General Hospital,2006,73827,Accident & Emergency Departments,676763,Community Hospitals,771,95.75486381322958,Yes
    Singapore General Hospital,2006,73827,Accident & Emergency Departments,676763,Nursing Homes,9456,7.80742385786802,No
    Singapore General Hospital,2006,73827,Polyclinics,3769989,Acute Hospitals,8187,9.01758886038842,No
    Singapore General Hospital,2006,73827,Polyclinics,3769989,Psychiatric Hospitals,2113,34.93942262186465,Yes
    Singapore General Hospital,2006,73827,Polyclinics,3769989,Community Hospitals,771,95.75486381322958,Yes
    Singapore General Hospital,2006,73827,Polyclinics,3769989,Nursing Homes,9456,7.80742385786802,No
    Singapore General Hospital,2006,73827,Dental Clinics,838466,Acute Hospitals,8187,9.01758886038842,No
    Singapore General Hospital,2006,73827,Dental Clinics,838466,Psychiatric Hospitals,2113,34.93942262186465,Yes
    Singapore General Hospital,2006,73827,Dental Clinics,838466,Community Hospitals,771,95.75486381322958,Yes
    Singapore General Hospital,2006,73827,Dental Clinics,838466,Nursing Homes,9456,7.80742385786802,No
