Admission Type,Year,Admissions,Service Type,Hospital Admissions,Facility Type,Number of Beds
Public Sector Hospital Admissions,2006,316261,Acute Hospitals Admissions,400636,Acute Hospitals,8187
Public Sector Hospital Admissions,2006,316261,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113
Public Sector Hospital Admissions,2006,316261,Acute Hospitals Admissions,400636,Community Hospitals,771
Public Sector Hospital Admissions,2006,316261,Acute Hospitals Admissions,400636,Nursing Homes,9456
Public Sector Hospital Admissions,2006,316261,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187
Public Sector Hospital Admissions,2006,316261,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113
Public Sector Hospital Admissions,2006,316261,Psychiatric Hospitals Admissions,8514,Community Hospitals,771
Public Sector Hospital Admissions,2006,316261,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456
Public Sector Hospital Admissions,2006,316261,Community Hospitals Admissions,6229,Acute Hospitals,8187
Public Sector Hospital Admissions,2006,316261,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113
Public Sector Hospital Admissions,2006,316261,Community Hospitals Admissions,6229,Community Hospitals,771
Public Sector Hospital Admissions,2006,316261,Community Hospitals Admissions,6229,Nursing Homes,9456
Public Sector Hospital Admissions,2006,316261,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187
Public Sector Hospital Admissions,2006,316261,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113
Public Sector Hospital Admissions,2006,316261,Specialist Outpatient Clinics,3624976,Community Hospitals,771
Public Sector Hospital Admissions,2006,316261,Specialist Outpatient Clinics,3624976,Nursing Homes,9456
Public Sector Hospital Admissions,2006,316261,Accident & Emergency Departments,676763,Acute Hospitals,8187
Public Sector Hospital Admissions,2006,316261,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113
Public Sector Hospital Admissions,2006,316261,Accident & Emergency Departments,676763,Community Hospitals,771
Public Sector Hospital Admissions,2006,316261,Accident & Emergency Departments,676763,Nursing Homes,9456
Public Sector Hospital Admissions,2006,316261,Polyclinics,3769989,Acute Hospitals,8187
Public Sector Hospital Admissions,2006,316261,Polyclinics,3769989,Psychiatric Hospitals,2113
Public Sector Hospital Admissions,2006,316261,Polyclinics,3769989,Community Hospitals,771
Public Sector Hospital Admissions,2006,316261,Polyclinics,3769989,Nursing Homes,9456
Public Sector Hospital Admissions,2006,316261,Dental Clinics,838466,Acute Hospitals,8187
Public Sector Hospital Admissions,2006,316261,Dental Clinics,838466,Psychiatric Hospitals,2113
Public Sector Hospital Admissions,2006,316261,Dental Clinics,838466,Community Hospitals,771
Public Sector Hospital Admissions,2006,316261,Dental Clinics,838466,Nursing Homes,9456
Public Sector Hospital Admissions,2006,316261,Day Surgeries,196619,Acute Hospitals,8187
Public Sector Hospital Admissions,2006,316261,Day Surgeries,196619,Psychiatric Hospitals,2113
Public Sector Hospital Admissions,2006,316261,Day Surgeries,196619,Community Hospitals,771
Public Sector Hospital Admissions,2006,316261,Day Surgeries,196619,Nursing Homes,9456
    National University Hospital,2006,52020,Acute Hospitals Admissions,400636,Acute Hospitals,8187
    National University Hospital,2006,52020,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113
    National University Hospital,2006,52020,Acute Hospitals Admissions,400636,Community Hospitals,771
    National University Hospital,2006,52020,Acute Hospitals Admissions,400636,Nursing Homes,9456
    National University Hospital,2006,52020,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187
    National University Hospital,2006,52020,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113
    National University Hospital,2006,52020,Psychiatric Hospitals Admissions,8514,Community Hospitals,771
    National University Hospital,2006,52020,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456
    National University Hospital,2006,52020,Community Hospitals Admissions,6229,Acute Hospitals,8187
    National University Hospital,2006,52020,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113
    National University Hospital,2006,52020,Community Hospitals Admissions,6229,Community Hospitals,771
    National University Hospital,2006,52020,Community Hospitals Admissions,6229,Nursing Homes,9456
    National University Hospital,2006,52020,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187
    National University Hospital,2006,52020,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113
    National University Hospital,2006,52020,Specialist Outpatient Clinics,3624976,Community Hospitals,771
    National University Hospital,2006,52020,Specialist Outpatient Clinics,3624976,Nursing Homes,9456
    National University Hospital,2006,52020,Accident & Emergency Departments,676763,Acute Hospitals,8187
    National University Hospital,2006,52020,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113
    National University Hospital,2006,52020,Accident & Emergency Departments,676763,Community Hospitals,771
    National University Hospital,2006,52020,Accident & Emergency Departments,676763,Nursing Homes,9456
    National University Hospital,2006,52020,Polyclinics,3769989,Acute Hospitals,8187
    National University Hospital,2006,52020,Polyclinics,3769989,Psychiatric Hospitals,2113
    National University Hospital,2006,52020,Polyclinics,3769989,Community Hospitals,771
    National University Hospital,2006,52020,Polyclinics,3769989,Nursing Homes,9456
    National University Hospital,2006,52020,Dental Clinics,838466,Acute Hospitals,8187
    National University Hospital,2006,52020,Dental Clinics,838466,Psychiatric Hospitals,2113
    National University Hospital,2006,52020,Dental Clinics,838466,Community Hospitals,771
    National University Hospital,2006,52020,Dental Clinics,838466,Nursing Homes,9456
    National University Hospital,2006,52020,Day Surgeries,196619,Acute Hospitals,8187
    National University Hospital,2006,52020,Day Surgeries,196619,Psychiatric Hospitals,2113
    National University Hospital,2006,52020,Day Surgeries,196619,Community Hospitals,771
    National University Hospital,2006,52020,Day Surgeries,196619,Nursing Homes,9456
    Singapore General Hospital,2006,73827,Acute Hospitals Admissions,400636,Acute Hospitals,8187
    Singapore General Hospital,2006,73827,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113
    Singapore General Hospital,2006,73827,Acute Hospitals Admissions,400636,Community Hospitals,771
    Singapore General Hospital,2006,73827,Acute Hospitals Admissions,400636,Nursing Homes,9456
    Singapore General Hospital,2006,73827,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187
    Singapore General Hospital,2006,73827,Psychiatric Hospitals Admissions,8514,Psychiatric Hospitals,2113
    Singapore General Hospital,2006,73827,Psychiatric Hospitals Admissions,8514,Community Hospitals,771
    Singapore General Hospital,2006,73827,Psychiatric Hospitals Admissions,8514,Nursing Homes,9456
    Singapore General Hospital,2006,73827,Community Hospitals Admissions,6229,Acute Hospitals,8187
    Singapore General Hospital,2006,73827,Community Hospitals Admissions,6229,Psychiatric Hospitals,2113
    Singapore General Hospital,2006,73827,Community Hospitals Admissions,6229,Community Hospitals,771
    Singapore General Hospital,2006,73827,Community Hospitals Admissions,6229,Nursing Homes,9456
    Singapore General Hospital,2006,73827,Specialist Outpatient Clinics,3624976,Acute Hospitals,8187
    Singapore General Hospital,2006,73827,Specialist Outpatient Clinics,3624976,Psychiatric Hospitals,2113
    Singapore General Hospital,2006,73827,Specialist Outpatient Clinics,3624976,Community Hospitals,771
    Singapore General Hospital,2006,73827,Specialist Outpatient Clinics,3624976,Nursing Homes,9456
    Singapore General Hospital,2006,73827,Accident & Emergency Departments,676763,Acute Hospitals,8187
    Singapore General Hospital,2006,73827,Accident & Emergency Departments,676763,Psychiatric Hospitals,2113
    Singapore General Hospital,2006,73827,Accident & Emergency Departments,676763,Community Hospitals,771
    Singapore General Hospital,2006,73827,Accident & Emergency Departments,676763,Nursing Homes,9456
    Singapore General Hospital,2006,73827,Polyclinics,3769989,Acute Hospitals,8187
    Singapore General Hospital,2006,73827,Polyclinics,3769989,Psychiatric Hospitals,2113
    Singapore General Hospital,2006,73827,Polyclinics,3769989,Community Hospitals,771
    Singapore General Hospital,2006,73827,Polyclinics,3769989,Nursing Homes,9456
    Singapore General Hospital,2006,73827,Dental Clinics,838466,Acute Hospitals,8187
    Singapore General Hospital,2006,73827,Dental Clinics,838466,Psychiatric Hospitals,2113
    Singapore General Hospital,2006,73827,Dental Clinics,838466,Community Hospitals,771
    Singapore General Hospital,2006,73827,Dental Clinics,838466,Nursing Homes,9456
    Singapore General Hospital,2006,73827,Day Surgeries,196619,Acute Hospitals,8187
    Singapore General Hospital,2006,73827,Day Surgeries,196619,Psychiatric Hospitals,2113
    Singapore General Hospital,2006,73827,Day Surgeries,196619,Community Hospitals,771
    Singapore General Hospital,2006,73827,Day Surgeries,196619,Nursing Homes,9456
    Tan Tock Seng Hospital,2006,51965,Acute Hospitals Admissions,400636,Acute Hospitals,8187
    Tan Tock Seng Hospital,2006,51965,Acute Hospitals Admissions,400636,Psychiatric Hospitals,2113
    Tan Tock Seng Hospital,2006,51965,Acute Hospitals Admissions,400636,Community Hospitals,771
    Tan Tock Seng Hospital,2006,51965,Acute Hospitals Admissions,400636,Nursing Homes,9456
    Tan Tock Seng Hospital,2006,51965,Psychiatric Hospitals Admissions,8514,Acute Hospitals,8187
